first_name,last_name,dob,height,gender,nationality,id,referred_by
Patricia,Wilson,28/08/1971,171,male,German,109,806.0
Robert,Brown,08/10/1962,174,female,American,110,508.0
Sarah,Anderson,22/01/1959,162,female,Canadian,111,817.0
Linda,Moore,26/06/2005,173,non-binary,Canadian,112,1384.0
Elizabeth,Johnson,26/02/1996,161,non-binary,Chinese,113,1308.0
Charles,Johnson,31/07/1989,168,non-binary,Australian,114,1380.0
James,Anderson,25/05/1991,187,female,German,115,1345.0
David,Thomas,02/05/1974,191,male,British,116,493.0
John,Garcia,01/03/2002,195,male,Chinese,117,413.0
Karen,Thompson,11/11/2002,180,female,German,118,133.0
Barbara,Robinson,23/09/1987,162,female,American,119,1324.0
Robert,Martinez,25/10/1967,160,non-binary,Chinese,120,1029.0
Karen,Johnson,02/09/1964,168,male,French,121,1368.0
Jessica,Garcia,29/04/1989,165,non-binary,American,122,981.0
Susan,Martinez,13/02/1986,168,male,Chinese,123,180.0
John,Thompson,20/08/1961,170,female,Canadian,124,1055.0
Jennifer,Moore,20/02/1963,155,male,Australian,125,1601.0
Mary,Miller,03/04/1994,183,male,Japanese,126,1488.0
Jessica,Johnson,19/12/1966,182,male,Japanese,127,1559.0
Elizabeth,Williams,16/09/1972,176,male,Japanese,128,587.0
Susan,Anderson,15/12/1964,197,non-binary,French,129,264.0
Jennifer,Martinez,23/01/1959,175,non-binary,German,130,400.0
Mary,Jones,28/07/1998,187,non-binary,Japanese,131,1957.0
Linda,Brown,01/02/1967,171,male,German,132,1425.0
Thomas,Taylor,23/08/1996,186,male,Spanish,133,409.0
William,Robinson,15/12/1957,158,female,Canadian,134,729.0
John,White,22/11/1980,150,male,Japanese,135,1211.0
Joseph,White,10/08/1971,159,female,Japanese,136,1961.0
Robert,Garcia,31/10/1979,178,male,Italian,137,376.0
Linda,Taylor,09/05/1986,186,male,Canadian,138,1961.0
Joseph,Moore,23/03/1982,176,female,British,139,1131.0
Jessica,Harris,26/02/1977,180,female,German,140,1843.0
Patricia,Johnson,12/07/1997,178,male,Spanish,141,350.0
Jennifer,Taylor,12/12/1981,197,non-binary,Chinese,142,1272.0
Charles,Smith,01/07/1992,171,non-binary,Canadian,143,310.0
William,Miller,05/04/2003,152,male,German,144,1765.0
Mary,Smith,06/09/1993,179,male,Australian,145,1765.0
Robert,Davis,19/06/1977,185,male,Canadian,146,12.0
Michael,Martin,12/09/1966,172,male,Italian,147,1790.0
Thomas,Thomas,21/05/1968,151,non-binary,American,148,271.0
James,Davis,10/06/1971,179,male,British,149,1068.0
Sarah,Miller,06/06/1997,159,male,Chinese,150,146.0
Jennifer,Williams,06/05/1980,180,female,Canadian,151,1657.0
Richard,Taylor,14/10/1957,164,male,Spanish,152,102.0
John,Smith,15/10/1986,186,male,Australian,153,1084.0
Charles,Jones,23/01/1978,178,non-binary,American,154,1073.0
Barbara,Martinez,05/02/1969,158,non-binary,Japanese,155,970.0
Michael,Williams,28/03/1971,153,non-binary,Spanish,156,1849.0
Michael,Robinson,31/03/1960,165,male,American,157,1355.0
William,Martinez,28/02/1978,154,non-binary,Italian,158,1199.0
Elizabeth,Smith,30/05/1978,189,male,Australian,159,1254.0
David,Miller,16/09/1969,188,female,Australian,160,674.0
Thomas,Jackson,23/09/1980,168,female,Italian,161,77.0
Patricia,Wilson,24/01/1989,198,female,Spanish,162,753.0
Sarah,Jackson,20/06/1991,186,male,Italian,163,299.0
William,Taylor,30/11/1958,164,male,German,164,740.0
Thomas,Moore,10/05/1977,200,male,German,165,755.0
Elizabeth,Moore,07/08/1979,178,male,Canadian,166,460.0
Charles,Brown,12/10/1974,153,female,British,167,210.0
Jennifer,Thomas,12/07/1995,168,female,Australian,168,985.0
Linda,Brown,23/01/1994,152,female,American,169,1671.0
James,White,03/04/2001,188,male,Japanese,170,1150.0
Joseph,Jackson,18/10/2001,171,non-binary,American,171,965.0
William,Moore,19/10/2001,191,female,American,172,390.0
Elizabeth,White,02/03/1979,188,female,German,173,1040.0
Robert,Garcia,12/03/1972,198,female,Canadian,174,674.0
David,Thomas,13/02/1993,175,non-binary,American,175,1374.0
Barbara,Robinson,14/03/1972,171,male,British,176,1459.0
Elizabeth,Moore,16/01/1994,166,female,Italian,177,1385.0
Thomas,Johnson,13/11/1988,161,male,Chinese,178,1299.0
Charles,Martin,01/07/2003,191,female,Japanese,179,1962.0
David,Williams,22/12/1965,185,female,Spanish,180,1699.0
James,Anderson,25/06/1969,171,non-binary,Spanish,181,684.0
James,Harris,03/05/2004,158,female,Australian,182,342.0
Jennifer,Johnson,22/07/1955,158,male,Japanese,183,1107.0
Richard,Martinez,06/09/1993,162,female,Chinese,184,1694.0
Susan,Williams,07/04/1983,187,male,French,185,756.0
Barbara,Thompson,11/01/1958,189,male,Canadian,186,498.0
Charles,Anderson,26/01/1964,190,female,Italian,187,980.0
Barbara,Smith,31/10/1973,179,male,Canadian,188,1333.0
Richard,Garcia,10/04/2002,165,female,Japanese,189,1644.0
Susan,Martinez,19/06/1956,197,female,Italian,190,257.0
Patricia,Jackson,12/04/1986,159,non-binary,French,191,1000.0
David,Jackson,10/07/2005,150,female,Australian,192,731.0
Elizabeth,Smith,24/12/1966,162,female,German,193,502.0
Karen,Wilson,01/09/1997,167,female,Japanese,194,6.0
Sarah,Davis,14/06/1987,174,male,British,195,1488.0
James,Martin,11/01/1978,195,male,Australian,196,72.0
William,Miller,10/03/2004,189,female,Spanish,197,1960.0
Charles,Martin,13/10/1999,154,non-binary,Spanish,198,1533.0
Sarah,Thompson,25/12/1999,150,female,German,199,157.0
John,Anderson,06/01/1957,176,male,Canadian,200,620.0
Jessica,Brown,10/05/1985,185,male,French,201,510.0
Susan,Taylor,05/01/2001,164,male,Italian,202,29.0
Jessica,Davis,21/05/1990,192,female,German,203,156.0
John,Johnson,16/06/1965,184,male,Chinese,204,336.0
James,Thomas,06/03/1997,174,female,Italian,205,1191.0
Mary,Jones,08/06/2000,199,male,Italian,206,236.0
Mary,Jones,28/09/1954,177,male,British,207,156.0
Sarah,Martinez,08/03/1974,182,non-binary,Spanish,208,1373.0
Michael,Thompson,17/05/1955,195,female,Italian,209,608.0
Karen,Wilson,13/03/1970,163,female,American,210,38.0
Thomas,Thompson,05/07/1978,165,male,Chinese,211,417.0
John,Garcia,27/04/1985,180,female,French,212,1959.0
Susan,Jackson,18/07/1978,159,male,Japanese,213,1181.0
William,Thompson,03/11/1982,151,non-binary,Italian,214,833.0
Barbara,Wilson,03/01/1963,160,female,Canadian,215,240.0
Sarah,Thompson,06/01/1973,187,female,British,216,1290.0
Karen,Moore,20/02/1980,164,female,British,217,298.0
Patricia,Williams,12/10/1993,150,female,Japanese,218,98.0
Charles,Harris,25/07/1991,166,non-binary,Italian,219,1306.0
Jessica,Miller,18/08/1976,185,female,Canadian,220,1093.0
Thomas,Johnson,29/10/2000,167,non-binary,British,221,1748.0
William,Moore,07/08/1959,165,female,German,222,1800.0
David,Robinson,27/01/1955,168,female,Australian,223,1381.0
Robert,Robinson,29/06/1982,183,male,Japanese,224,532.0
Karen,Martin,01/09/1966,150,female,German,225,511.0
Joseph,Taylor,08/09/1971,151,non-binary,German,226,1127.0
Michael,Moore,30/05/1976,185,non-binary,French,227,656.0
Patricia,White,18/10/1981,175,non-binary,American,228,1841.0
Joseph,Wilson,12/08/2004,152,female,Chinese,229,826.0
John,Garcia,14/07/2001,188,male,Australian,230,191.0
Susan,Davis,11/05/1981,184,male,Australian,231,565.0
Mary,Williams,08/01/1968,180,non-binary,Italian,232,974.0
Jessica,Brown,13/09/1983,177,male,Canadian,233,702.0
Patricia,Williams,07/05/1965,188,non-binary,Canadian,234,634.0
Barbara,Johnson,16/06/1989,156,female,Spanish,235,394.0
John,Thomas,22/03/1978,158,female,American,236,1636.0
David,Martin,12/05/1989,162,male,Spanish,237,541.0
Richard,Wilson,22/10/1955,155,female,Italian,238,
Charles,Johnson,08/06/1956,169,non-binary,Italian,239,61.0
Linda,Jackson,15/05/1965,152,male,Canadian,240,1835.0
Patricia,Moore,22/02/1982,197,male,German,241,348.0
Michael,Miller,05/12/1958,196,male,French,242,1160.0
Elizabeth,Wilson,10/09/1988,170,non-binary,Italian,243,116.0
John,Martinez,01/10/1967,185,male,Italian,244,1490.0
Richard,Miller,13/12/1959,160,male,Spanish,245,24.0
William,Brown,17/11/1997,180,female,Chinese,246,1572.0
Patricia,Brown,10/01/1975,175,non-binary,Chinese,247,258.0
Susan,Robinson,19/09/1959,165,male,Spanish,248,1810.0
Susan,Garcia,21/08/1977,150,female,French,249,575.0
David,Miller,03/01/1974,199,non-binary,Australian,250,1334.0
Sarah,Brown,03/08/1968,170,non-binary,Italian,251,498.0
James,Jones,23/03/1970,150,male,Japanese,252,1449.0
Jessica,Harris,05/12/1965,170,male,British,253,1965.0
James,Miller,13/01/1997,192,male,Australian,254,44.0
John,Robinson,26/01/1986,186,male,American,255,13.0
Karen,Robinson,31/07/1960,193,non-binary,German,256,459.0
David,Robinson,29/04/1989,151,non-binary,French,257,1006.0
Barbara,Garcia,28/02/2005,188,non-binary,French,258,357.0
Mary,Brown,26/10/1991,156,male,Chinese,259,486.0
Michael,Taylor,27/02/1972,156,male,Japanese,260,667.0
Patricia,Martin,21/01/2003,155,female,German,261,1269.0
Mary,Smith,10/09/1995,152,female,Canadian,262,800.0
Jessica,White,09/04/1971,177,female,Chinese,263,17.0
Charles,Wilson,13/02/1986,153,male,British,264,453.0
Thomas,Garcia,28/11/1998,186,female,Canadian,265,71.0
Robert,Martinez,22/03/1988,192,non-binary,Japanese,266,1135.0
John,Martin,20/11/1999,186,non-binary,Spanish,267,476.0
Sarah,Jackson,04/06/2002,193,female,British,268,786.0
Robert,Johnson,21/06/1964,150,non-binary,French,269,1175.0
Joseph,Jackson,31/03/1980,169,male,American,270,1350.0
Sarah,Moore,25/02/2000,159,non-binary,French,271,151.0
William,Robinson,03/01/2004,150,female,Chinese,272,12.0
James,Martinez,10/06/1991,198,female,Chinese,273,911.0
Linda,White,30/05/1996,161,non-binary,Japanese,274,2000.0
Karen,Wilson,07/10/1975,189,male,Japanese,275,1585.0
Jennifer,Taylor,29/10/1954,174,non-binary,Italian,276,1617.0
John,Davis,09/09/1995,174,female,German,277,990.0
Barbara,Martinez,05/01/1992,184,male,Italian,278,623.0
Barbara,Martin,20/11/1974,189,female,Italian,279,1941.0
Patricia,Moore,05/03/1957,188,non-binary,Spanish,280,294.0
Karen,Jackson,29/03/1990,163,non-binary,Spanish,281,40.0
Elizabeth,Wilson,16/12/2002,186,non-binary,Canadian,282,216.0
Elizabeth,Moore,06/03/2002,184,non-binary,British,283,713.0
Linda,Martinez,10/07/1968,189,female,Chinese,284,247.0
William,Garcia,10/01/1960,188,female,Spanish,285,1651.0
John,Wilson,02/11/1998,176,female,Chinese,286,1200.0
Thomas,Jackson,18/07/1986,186,non-binary,German,287,1490.0
Joseph,Moore,06/06/1960,186,non-binary,Australian,288,83.0
Linda,Robinson,27/10/1975,185,male,Japanese,289,1666.0
John,Jones,15/05/1959,189,male,Japanese,290,898.0
Mary,Williams,13/10/1966,190,female,Chinese,291,1318.0
Linda,Taylor,20/05/1964,182,non-binary,German,292,71.0
Susan,Martinez,25/05/1973,200,female,American,293,794.0
David,Garcia,17/08/1989,179,non-binary,German,294,1303.0
Karen,Wilson,10/10/1992,157,female,Australian,295,877.0
Barbara,Robinson,25/02/1972,181,non-binary,French,296,864.0
David,Thomas,09/10/1998,183,female,Australian,297,36.0
John,White,06/06/1991,155,non-binary,Italian,298,798.0
John,Smith,31/01/1989,200,non-binary,Japanese,299,228.0
James,Thompson,12/07/1981,184,female,Japanese,300,881.0
John,Brown,09/10/1988,157,non-binary,French,301,174.0
Jessica,Anderson,15/12/1997,177,male,Spanish,302,30.0
Charles,Robinson,13/07/1979,196,non-binary,British,303,846.0
John,Harris,28/11/1982,171,female,Japanese,304,1172.0
Jennifer,Miller,07/09/1966,158,female,Spanish,305,1009.0
Mary,Johnson,24/02/1965,168,non-binary,Spanish,306,1205.0
Barbara,Martinez,20/08/1999,151,female,Australian,307,581.0
Richard,Thompson,08/12/1999,175,female,German,308,1203.0
Sarah,Miller,17/04/1979,154,non-binary,Australian,309,649.0
Susan,Anderson,04/08/1999,165,male,American,310,1818.0
Richard,Martinez,14/11/2002,160,male,Japanese,311,1995.0
Elizabeth,Moore,10/09/1957,157,female,British,312,96.0
Susan,Robinson,15/04/2004,162,female,French,313,1054.0
Jessica,Garcia,28/11/1982,188,male,Australian,314,1757.0
Richard,Davis,09/03/1989,184,female,American,315,109.0
Jessica,Martin,09/09/1991,150,non-binary,Chinese,316,510.0
Thomas,Williams,18/01/1987,173,male,American,317,1427.0
Karen,Smith,06/02/1999,164,female,Italian,318,1765.0
Susan,Miller,17/07/1966,187,female,French,319,1281.0
Patricia,Brown,23/04/2001,178,non-binary,British,320,631.0
John,Martinez,06/07/2003,159,female,Japanese,321,1435.0
John,Smith,05/12/1961,194,female,Australian,322,606.0
Thomas,Wilson,20/03/2006,188,female,Spanish,323,812.0
Jennifer,Thomas,24/07/1974,197,non-binary,American,324,450.0
James,Jackson,06/06/2000,151,male,German,325,1801.0
Sarah,Garcia,22/09/1983,179,male,French,326,1760.0
Karen,Thompson,22/07/1993,175,non-binary,Australian,327,1855.0
Michael,Smith,28/10/1982,195,female,American,328,79.0
Barbara,Martinez,11/03/1980,157,female,British,329,669.0
John,Smith,02/09/2005,197,non-binary,Italian,330,1077.0
David,Moore,07/09/2005,191,male,American,331,242.0
Mary,Garcia,03/01/2006,162,non-binary,German,332,202.0
Charles,Martin,11/12/1981,198,male,Italian,333,376.0
David,Miller,09/10/1982,174,non-binary,German,334,493.0
David,Taylor,03/10/1994,181,non-binary,Italian,335,706.0
Linda,Smith,06/06/1986,176,male,Australian,336,408.0
Charles,Harris,20/11/2004,192,male,Italian,337,232.0
Sarah,Miller,15/04/1963,156,male,French,338,337.0
Mary,Martin,19/02/1971,155,non-binary,French,339,1124.0
Susan,Johnson,13/03/1976,199,non-binary,British,340,1647.0
Karen,Williams,23/09/1978,156,female,German,341,1669.0
Thomas,Moore,20/12/1997,195,non-binary,Australian,342,1501.0
Patricia,Thompson,16/07/1969,164,female,British,343,797.0
David,Martinez,21/08/1967,162,non-binary,French,344,131.0
Jennifer,Thompson,30/01/1965,162,male,British,345,150.0
James,Jones,13/06/1999,152,male,Italian,346,1572.0
Karen,White,01/01/1989,169,female,Canadian,347,1831.0
Richard,Martin,28/12/1968,165,female,Japanese,348,691.0
Linda,White,11/02/1957,195,male,Italian,349,172.0
Susan,Miller,03/10/1996,192,non-binary,Chinese,350,848.0
Richard,Harris,04/01/1959,181,male,American,351,784.0
John,White,24/10/1965,163,non-binary,Canadian,352,85.0
Elizabeth,Wilson,30/03/1984,172,male,Australian,353,1852.0
Robert,Davis,19/02/1992,177,male,British,354,568.0
Barbara,Williams,16/11/1989,156,male,American,355,1985.0
Jennifer,Robinson,14/08/1976,183,female,British,356,1073.0
Joseph,Miller,10/05/1998,165,male,Spanish,357,882.0
Barbara,Johnson,22/09/1970,169,male,Italian,358,1332.0
Richard,Jackson,08/12/1967,178,non-binary,Japanese,359,307.0
Elizabeth,Robinson,04/06/1978,176,non-binary,Canadian,360,338.0
John,Garcia,15/07/1955,175,non-binary,Japanese,361,1958.0
Thomas,Davis,16/07/1984,200,male,Japanese,362,1303.0
Mary,Taylor,29/01/2000,169,male,Chinese,363,1436.0
Sarah,Wilson,23/10/1974,160,non-binary,Japanese,364,1363.0
James,Johnson,25/12/1984,165,male,British,365,1881.0
Robert,Martinez,24/09/1971,194,male,Australian,366,763.0
Mary,Taylor,16/10/1974,161,female,Chinese,367,1557.0
Charles,Moore,12/01/1976,189,non-binary,Australian,368,340.0
Michael,Martinez,29/04/1988,178,female,French,369,421.0
Patricia,Thomas,19/08/1958,169,non-binary,Australian,370,393.0
Elizabeth,White,04/08/1971,164,male,Canadian,371,703.0
David,Jones,18/11/1974,156,non-binary,German,372,581.0
Patricia,Thomas,01/07/1997,177,male,American,373,1430.0
Karen,Smith,12/11/1960,178,male,German,374,1559.0
Jennifer,Wilson,12/06/1969,181,non-binary,American,375,1102.0
Thomas,Taylor,09/12/1957,195,non-binary,Australian,376,1772.0
Sarah,Miller,04/07/1971,185,non-binary,Chinese,377,1896.0
John,Martinez,16/12/1971,190,female,British,378,1376.0
Joseph,White,25/03/2001,173,non-binary,Japanese,379,946.0
William,Johnson,12/08/2005,156,female,Italian,380,721.0
Jessica,Williams,08/11/1964,174,female,Canadian,381,296.0
Jennifer,Anderson,05/09/1964,156,male,Australian,382,1902.0
Charles,Martin,08/02/1980,156,male,Canadian,383,637.0
Joseph,Jackson,16/06/1990,164,female,Australian,384,325.0
Jennifer,Anderson,22/11/1972,160,non-binary,Japanese,385,98.0
Richard,Taylor,16/08/1967,200,male,Italian,386,246.0
William,Harris,07/05/1970,159,female,Italian,387,809.0
Karen,Garcia,03/05/1961,195,male,Spanish,388,1501.0
Mary,Thompson,27/02/1962,177,female,Canadian,389,738.0
Patricia,Martinez,22/04/1957,180,female,Australian,390,1491.0
Charles,Harris,31/07/1996,193,non-binary,French,391,1375.0
John,Taylor,11/10/1998,162,male,French,392,549.0
Linda,Taylor,29/04/1964,198,non-binary,Italian,393,1296.0
Barbara,Anderson,06/04/1957,167,male,American,394,491.0
Mary,Thompson,02/07/1983,172,male,Italian,395,209.0
Sarah,Smith,08/10/2002,183,female,British,396,864.0
Elizabeth,Martinez,13/08/1954,188,non-binary,American,397,258.0
Jennifer,Brown,28/06/1967,181,female,British,398,1262.0
Robert,Robinson,12/09/2004,194,non-binary,German,399,1614.0
James,Jackson,29/05/1996,195,female,Australian,400,299.0
Elizabeth,Harris,02/02/2001,170,female,French,401,507.0
Linda,Williams,21/03/1972,168,male,French,402,1004.0
Jennifer,Smith,04/10/1972,192,non-binary,Italian,403,1030.0
Karen,Davis,06/10/2002,154,non-binary,British,404,62.0
Jennifer,Brown,19/12/1989,185,male,Australian,405,99.0
James,Johnson,24/02/1996,177,female,French,406,1715.0
Karen,Taylor,13/07/1960,191,female,British,407,56.0
John,Davis,13/10/1991,184,female,Canadian,408,684.0
Patricia,Jones,07/08/1967,187,male,Japanese,409,720.0
Richard,White,13/05/1982,173,non-binary,Canadian,410,874.0
Karen,Wilson,20/11/1969,174,female,Canadian,411,281.0
Susan,Davis,22/05/1992,152,male,Italian,412,1022.0
Richard,Martin,01/03/1982,157,female,American,413,578.0
Robert,Johnson,18/10/1983,197,non-binary,British,414,1985.0
James,Jackson,18/09/1972,158,male,British,415,1419.0
Patricia,White,26/11/1984,177,non-binary,Spanish,416,426.0
William,Anderson,25/08/1988,152,non-binary,Australian,417,313.0
Elizabeth,Robinson,26/02/1963,191,female,Spanish,418,1649.0
Joseph,Jones,18/09/1970,197,female,German,419,1303.0
Linda,Johnson,29/08/1973,157,male,British,420,1809.0
John,Thompson,12/11/1974,161,female,French,421,1383.0
Karen,Martin,10/02/1983,182,male,Australian,422,240.0
Jennifer,Wilson,30/08/1994,153,non-binary,French,423,496.0
Michael,Davis,01/01/1975,175,male,American,424,426.0
Jennifer,Jones,31/07/1954,165,female,Japanese,425,1728.0
James,Taylor,06/07/1975,182,non-binary,Chinese,426,1679.0
Karen,Harris,24/12/1998,178,male,Italian,427,1546.0
William,Brown,30/06/1989,173,female,German,428,1533.0
Thomas,Robinson,12/02/1976,151,female,Australian,429,401.0
Joseph,Davis,25/10/1992,158,female,German,430,1291.0
Mary,Brown,23/01/1996,159,female,Australian,431,1540.0
Robert,Wilson,03/03/1955,150,male,Italian,432,392.0
Patricia,Moore,18/03/1969,156,male,Canadian,433,96.0
Patricia,Thompson,09/02/1967,183,male,Italian,434,247.0
Karen,Davis,28/06/1978,191,non-binary,Spanish,435,611.0
Linda,Robinson,17/07/1956,190,non-binary,Australian,436,1496.0
Thomas,Johnson,17/12/1985,187,female,French,437,1501.0
Susan,Harris,19/10/1987,172,male,French,438,755.0
Thomas,Thomas,19/05/1962,185,male,Chinese,439,1381.0
Robert,Miller,22/02/1963,150,female,Japanese,440,1757.0
Michael,Harris,28/05/1992,185,non-binary,Chinese,441,725.0
Mary,Martin,21/09/2001,179,non-binary,Australian,442,79.0
Thomas,Harris,16/04/1960,183,female,Italian,443,1567.0
William,Jones,17/07/1995,152,non-binary,British,444,1446.0
Charles,Wilson,23/05/1980,173,male,Japanese,445,788.0
Linda,Wilson,13/04/1995,159,female,Chinese,446,1277.0
Sarah,Thomas,23/12/2004,178,female,Chinese,447,1236.0
Sarah,Robinson,12/04/1962,184,male,Japanese,448,766.0
Joseph,White,15/02/1969,150,male,French,449,1895.0
William,White,09/09/1966,166,male,Italian,450,226.0
Robert,Taylor,18/07/1995,171,non-binary,Italian,451,1029.0
Mary,Martin,14/09/1968,181,non-binary,Italian,452,386.0
Karen,Davis,15/03/1993,168,female,French,453,1001.0
Mary,Martin,20/03/1989,152,female,German,454,690.0
Jessica,Williams,07/10/1972,176,non-binary,Chinese,455,341.0
Robert,Taylor,07/03/1992,167,female,Japanese,456,683.0
